match_number,url,newspaper_title,publication_date,page_number,location,snippet,screenshot_path
50,https://newscomwc.newspapers.com/image/336779212/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"Rocky Mount Telegram • Page 3 Saturday, May 6, 1972Rocky Mount, North Carolina1 of 8 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0050.png
51,https://newscomwc.newspapers.com/image/17083609/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Gaston Gazette • Page 7 Wednesday, May 10, 1972Gastonia, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0051.png
52,https://newscomwc.newspapers.com/image/341054030/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Nashville Graphic • Page 20 Thursday, May 11, 1972Nashville, North Carolina1 of 6 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0052.png
53,https://newscomwc.newspapers.com/image/341054081/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Nashville Graphic • Page 4 Thursday, May 18, 1972Nashville, North Carolina1 of 4 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0053.png
54,https://newscomwc.newspapers.com/image/4364464/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Gaston Gazette • Page 23 Tuesday, July 25, 1972Gastonia, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0054.png
55,https://newscomwc.newspapers.com/image/336693313/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"Rocky Mount Telegram • Page 3 Friday, August 4, 1972Rocky Mount, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0055.png
56,https://newscomwc.newspapers.com/image/53598371/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Daily Times-News • Page 19 Friday, August 4, 1972Burlington, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0056.png
57,https://newscomwc.newspapers.com/image/336699745/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"Rocky Mount Telegram • Page 1 Wednesday, October 11, 1972Rocky Mount, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0057.png
58,https://newscomwc.newspapers.com/image/53618691/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"The Daily Times-News • Page 21 Wednesday, October 11, 1972Burlington, North Carolina1 of 2 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0058.png
59,https://newscomwc.newspapers.com/image/336709689/?match=1&terms=%22certificate%20of%20need%22&pqsid=1G5w5jPookppD464ShWQFw%3A12564%3A1788838422,,,,,"Rocky Mount Telegram • Page 1 Wednesday, December 13, 1972Rocky Mount, North Carolina1 of 4 matches on this page.Previous Next",C:\Users\shakyas\Desktop\ShakyaThinkGround\CONLAW\newspapers_screenshots\certificate_of_need_nc_0059.png
